DATE;Tb3mo;Tb1yr;RGDP;Potent;Deflator;M2;PPI;Curr
1960Q1;3.87;4.57;2845.3;2824.2;18.521;298.7;33.2;31.8
1960Q2;2.99;3.87;2832;2851.2;18.579;301.1;33.4;31.9
1960Q3;2.36;3.07;2836.6;2878.7;18.648;306.5;33.4;32.2
1960Q4;2.31;2.99;2800.2;2906.7;18.7;310.9;33.7;32.6
1961Q1;2.35;2.87;2816.9;2934.8;18.743;316.3;33.6;32.1
1961Q2;2.3;2.94;2869.6;2962.9;18.785;322.1;33.3;32.1
1961Q3;2.3;3.01;2915.9;2991.3;18.843;327.6;33.3;32.7
1961Q4;2.46;3.1;2975.3;3019.9;18.908;333.3;33.4;33.4
1962Q1;2.72;3.21;3028.7;3048.7;19.02;340.2;33.5;33.1
1962Q2;2.72;3.02;3062.1;3078;19.047;347.4;33.4;33.5
1962Q3;2.84;3.18;3090.4;3107.7;19.092;352.8;33.6;34.1
1962Q4;2.81;3;3097.9;3137.7;19.152;359.9;33.6;34.7
1963Q1;2.91;3.03;3138.4;3168.4;19.196;367.9;33.4;34.5
1963Q2;2.94;3.14;3177.7;3199.4;19.233;375.9;33.4;35
1963Q3;3.29;3.53;3237.6;3230.7;19.272;383.6;33.4;35.9
1963Q4;3.5;3.73;3262.2;3262.5;19.418;391;33.5;36.9
1964Q1;3.53;3.83;3335.4;3294.5;19.477;397.5;33.5;36.7
1964Q2;3.48;3.86;3373.7;3326.8;19.529;404.3;33.5;37.2
1964Q3;3.5;3.77;3419.5;3359.6;19.607;413.5;33.6;38.1
1964Q4;3.68;3.93;3429;3393;19.703;421.9;33.6;39.1
1965Q1;3.89;4.01;3513.3;3427.3;19.801;430.4;33.7;38.9
1965Q2;3.87;4.02;3560.9;3462.3;19.887;437.5;34.1;39.2
1965Q3;3.87;4.08;3633.2;3498.1;19.96;446.1;34.2;40.2
1965Q4;4.17;4.46;3720.8;3534.9;20.088;455.8;34.5;41.5
1966Q1;4.61;4.93;3812.2;3572.7;20.218;464.6;34.9;41.5
1966Q2;4.59;4.93;3824.9;3612.1;20.391;470.2;35;42
1966Q3;5.04;5.51;3850;3652.4;20.601;473;35.4;43
1966Q4;5.21;5.44;3881.2;3693.2;20.791;477.7;35.5;43.9
1967Q1;4.51;4.6;3915.4;3734.4;20.886;485.5;35.3;43.8
1967Q2;3.66;4.25;3916.2;3775.4;20.997;497.1;35.5;44.2
1967Q3;4.3;5.13;3947.5;3816.4;21.203;510.6;35.8;45.1
1967Q4;4.75;5.56;3977.6;3857.3;21.438;521.4;35.9;46.2
1968Q1;5.05;5.47;4059.5;3897.1;21.672;530.3;36.2;46.2
1968Q2;5.52;5.94;4128.5;3936.7;21.899;539.1;36.5;47.1
1968Q3;5.2;5.51;4156.7;3976.2;22.115;549.5;36.8;48.3
1968Q4;5.59;5.84;4174.7;4015.6;22.426;562.3;37.1;49.6
1969Q1;6.09;6.36;4240.5;4055.4;22.66;571.9;37.3;49.6
1969Q2;6.2;6.57;4252.8;4095.6;22.952;576.9;37.8;50.2
1969Q3;7.02;7.65;4279.7;4135.7;23.28;580.6;38.2;51.4
1969Q4;7.35;7.9;4259.6;4175.7;23.581;585.6;38.7;52.7
1970Q1;7.21;7.55;4252.9;4215.3;23.915;587.7;39.1;52.5
1970Q2;6.68;7.45;4260.7;4254.2;24.247;591.7;39.1;53.6
1970Q3;6.33;6.94;4298.6;4292.7;24.438;605.1;39.3;54.9
1970Q4;5.35;5.65;4253;4330.7;24.752;621.3;39.7;56.1
1971Q1;3.84;4.05;4370.3;4368;25.126;641.3;40.1;56.1
1971Q2;4.25;4.99;4395.1;4404.8;25.455;666;40.5;57.4
1971Q3;5.01;5.75;4430.2;4441.6;25.711;685.9;40.6;59
1971Q4;4.23;4.73;4442.5;4478.6;25.918;704.4;40.9;60.1
1972Q1;3.44;4.41;4521.9;4516.4;26.319;725.6;41.2;60
1972Q2;3.77;4.84;4629.1;4554.5;26.475;743.8;41.5;61.3
1972Q3;4.22;5.15;4673.5;4593.4;26.731;768.8;42;62.8
1972Q4;4.86;5.44;4750.5;4633.2;27.083;794.4;42.3;64.7
1973Q1;5.7;6.31;4872;4674.3;27.403;813.2;43.6;65
1973Q2;6.6;7.02;4928.4;4717.1;27.828;826.6;45.1;66.8
1973Q3;8.32;8.51;4902.1;4761;28.37;838.2;46.4;68.5
1973Q4;7.5;7.41;4948.8;4805.7;28.932;849;47.2;70.2
1974Q1;7.62;7.35;4905.4;4851.5;29.488;864.7;49.6;70.8
1974Q2;8.15;8.69;4918;4898.3;30.192;875.1;51.1;73
1974Q3;8.19;9.01;4869.4;4945.4;31.085;884.5;53.6;74.8
1974Q4;7.36;7.67;4850.2;4992.2;32.015;898;56;77.2
1975Q1;5.75;6.31;4791.2;5037.8;32.757;915.1;56.6;77.6
1975Q2;5.39;6.53;4827.8;5081.7;33.245;948.7;57.5;79.5
1975Q3;6.33;7.52;4909.1;5124.7;33.864;983.2;58.9;81.9
1975Q4;5.63;6.68;4973.3;5167.2;34.463;1007;60;84
1976Q1;4.92;5.98;5086.3;5208.6;34.837;1039;60;84.6
1976Q2;5.16;6.28;5124.6;5249.9;35.208;1070.2;60.4;87.4
1976Q3;5.15;6.01;5149.7;5291.5;35.686;1098.6;60.9;89.5
1976Q4;4.67;5.23;5187.1;5333.7;36.331;1138.4;61.9;91.9
1977Q1;4.63;5.42;5247.3;5377.8;36.943;1177.1;63.1;92.3
1977Q2;4.84;5.69;5351.6;5422.7;37.47;1208.8;64.3;95
1977Q3;5.5;6.28;5447.3;5468.8;37.927;1236.6;65.2;97.7
1977Q4;6.11;6.96;5446.1;5516;38.758;1262.2;66.3;100.8
1978Q1;6.39;7.31;5464.7;5564.6;39.326;1285.8;67.4;101.7
1978Q2;6.48;7.79;5679.7;5616.8;40.05;1309.8;69.1;104.4
1978Q3;7.31;8.45;5735.4;5669.5;40.716;1334.2;70.6;107.4
1978Q4;8.57;9.82;5811.3;5722.1;41.575;1359.1;72.1;111
1979Q1;9.38;10.3;5821;5774.1;42.318;1379.1;74.4;111.7
1979Q2;9.38;9.94;5826.4;5823.7;43.362;1411.8;76.2;114.6
1979Q3;9.67;10.15;5868.3;5870.9;44.301;1445.2;78.4;118.5
1979Q4;11.84;12.27;5884.5;5915.2;45.194;1466.7;81.3;121.8
1980Q1;13.35;13.93;5903.4;5954;46.144;1492.4;84.5;122.5
1980Q2;9.62;10.28;5782.4;5986.7;47.178;1514.6;86.7;125.1
1980Q3;9.15;10.14;5771.7;6017.5;48.256;1560.3;89.5;129.2
1980Q4;13.61;13.84;5878.4;6047.7;49.593;1593.5;91.3;133.3
1981Q1;14.39;14.12;6000.6;6079.4;50.851;1620.7;93.7;133.1
1981Q2;14.91;15.13;5952.7;6115.2;51.813;1664.6;96.1;136.2
1981Q3;15.05;16.32;6025;6153.1;52.73;1694.1;96.9;139
1981Q4;11.75;13.55;5950;6193.3;53.692;1737.8;97.9;141.6
1982Q1;12.81;14.33;5852.3;6238.9;54.421;1777.1;98.8;142.1
1982Q2;12.42;13.8;5884;6285.6;55.08;1815.1;99.3;145.7
1982Q3;9.32;11.84;5861.4;6333.4;55.864;1845.4;100.5;149.3
1982Q4;7.91;9.13;5866;6381.6;56.47;1886.9;101.4;152.8
1983Q1;8.11;8.86;5938.9;6427.4;56.929;1990.8;101;153.8
1983Q2;8.4;9.18;6072.4;6472.6;57.345;2042;101.4;158.7
1983Q3;9.14;10.3;6192.2;6518.3;57.929;2074.3;101.9;162.8
1983Q4;8.8;9.95;6320.2;6564.9;58.355;2112;102.2;167.2
1984Q1;9.17;10.18;6442.8;6613.5;59.096;2157.5;103.4;168.2
1984Q2;9.8;11.55;6554;6664.6;59.602;2204;103.8;172.2
1984Q3;10.32;11.81;6617.7;6717.3;60.081;2233.1;103.9;176.3
1984Q4;8.8;10.02;6671.6;6771.5;60.465;2282.6;103.9;179
1985Q1;8.18;9.39;6734.5;6827.6;61.136;2351.2;104.1;179.2
1985Q2;7.46;8.47;6791.5;6884.8;61.483;2392.9;104.7;183.1
1985Q3;7.11;7.99;6897.6;6942.5;61.736;2443.7;104.3;187.9
1985Q4;7.17;7.85;6950;7000.4;62.14;2479.8;105.5;191.9
1986Q1;6.9;7.46;7016.8;7057.2;62.456;2516.6;104.1;192.4
1986Q2;6.14;6.61;7045;7113.4;62.786;2583.2;102.7;196.5
1986Q3;5.52;5.99;7112.9;7169.4;63.143;2647.9;102.6;201.2
1986Q4;5.35;5.8;7147.3;7225.1;63.567;2706.8;103.5;205.5
1987Q1;5.54;5.92;7186.9;7280.7;64.16;2749.5;104.3;207.3
1987Q2;5.66;6.77;7263.3;7336.2;64.526;2773.2;105.3;212
1987Q3;6.04;7.13;7326.3;7391.7;65.033;2790.5;105.9;217
1987Q4;5.86;7.24;7451.7;7447.5;65.53;2822.3;105.9;223
1988Q1;5.72;6.78;7490.2;7503.7;66.068;2871.8;106.4;225.5
1988Q2;6.21;7.3;7586.4;7560;66.689;2927.4;107.2;230.7
1988Q3;7.01;8;7625.6;7616.7;67.442;2954.5;108.7;236.1
1988Q4;7.73;8.53;7727.4;7673.6;67.953;2980.4;109.6;240.6
1989Q1;8.54;9.29;7799.9;7730.9;68.723;2996.8;111.8;242.1
1989Q2;8.41;8.93;7858.3;7789.1;69.399;3017.5;113.7;245.8
1989Q3;7.84;8.1;7920.6;7847.5;69.855;3075.4;113.7;249.3
1989Q4;7.65;7.83;7937.9;7906;70.317;3135.4;115;252.6
1990Q1;7.76;8.13;8020.8;7964.7;71.166;3180.4;117.6;256.1
1990Q2;7.75;8.27;8052.7;8023.2;71.993;3206.8;117.5;262.8
1990Q3;7.48;7.83;8052.6;8081.3;72.655;3241.5;119.3;270.8
1990Q4;6.99;7.3;7982;8138.9;73.239;3265.6;122.2;278.6
1991Q1;6.02;6.44;7943.4;8195.3;74.026;3305.1;121.9;285.1
1991Q2;5.56;6.24;7997;8250.4;74.553;3342.5;121.4;289.1
1991Q3;5.38;5.89;8030.7;8304.9;75.133;3355.1;121.3;294
1991Q4;4.54;4.87;8062.2;8359.1;75.569;3365.4;122.2;299.8
1992Q1;3.89;4.36;8150.7;8413.2;75.954;3394.1;122.2;302.6
1992Q2;3.68;4.22;8237.3;8467.4;76.423;3396.2;122.9;308
1992Q3;3.08;3.42;8322.3;8522;76.778;3399.7;123.5;315.9
1992Q4;3.07;3.56;8409.8;8577.4;77.214;3423.5;124.2;325.1
1993Q1;2.96;3.41;8425.3;8634.5;77.677;3413.4;124.7;330.5
